sample_id,image_id,part_group_id,image_path,part_family,part_category,description,label,source
external_sample_air_filter_2088950_match,external_image_air_filter_2088950,external_group_air_filter_2088950,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_2088950_mismatch,external_image_air_filter_2088950,external_group_air_filter_2088950,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
external_sample_air_filter_2088950_partial_match,external_image_air_filter_2088950,external_group_air_filter_2088950,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,Automotive engine oil filter.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_air_filter_220313_match,external_image_air_filter_220313,external_group_air_filter_220313,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_220313_mismatch,external_image_air_filter_220313,external_group_air_filter_220313,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
external_sample_air_filter_220313_partial_match,external_image_air_filter_220313,external_group_air_filter_220313,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,Automotive engine oil filter.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_match,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_mismatch,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_partial_match,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive engine oil filter.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_air_filter_475881_match,external_image_air_filter_475881,external_group_air_filter_475881,data/external/open_license/images/air_filter/commons_air_filter_475881.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_475881_mismatch,external_image_air_filter_475881,external_group_air_filter_475881,data/external/open_license/images/air_filter/commons_air_filter_475881.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
