asset_id,part_family,part_category,local_path,commons_title,author,license_short_name,license_url,description_url,operator_decision,rejection_reason,operator_notes
commons_air_filter_2088950,filtration,air_filter,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,File:Filtry powietrza2.jpg,Maly LOLek,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Filtry_powietrza2.jpg,approved,,Clear photograph of automotive engine air-filter elements.
commons_air_filter_220313,filtration,air_filter,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,File:Saab Sonett III Ford V4 engine.jpg,User:Sfoskett,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:Saab_Sonett_III_Ford_V4_engine.jpg,approved,,Automotive engine air-filter housing is clearly visible in context.
commons_air_filter_475880,filtration,air_filter,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,"File:Air filter, opel astra(1).JPG",Donar Reiskoffer,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"https://commons.wikimedia.org/wiki/File:Air_filter,_opel_astra(1).JPG",approved,,Isolated automotive panel air filter.
commons_air_filter_475881,filtration,air_filter,data/external/open_license/images/air_filter/commons_air_filter_475881.jpg,"File:Air filter, opel astra(2).JPG",Donar Reiskoffer,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"https://commons.wikimedia.org/wiki/File:Air_filter,_opel_astra(2).JPG",approved,,Isolated automotive panel air filter.
commons_air_filter_9446495,filtration,air_filter,data/external/open_license/images/air_filter/commons_air_filter_9446495.jpg,File:Cool-Air-intake.jpg,Gearheadgirl,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://commons.wikimedia.org/wiki/File:Cool-Air-intake.jpg,approved,,Aftermarket cone engine air filter is clearly visible in the engine bay.
commons_air_filter_97257871,filtration,air_filter,data/external/open_license/images/air_filter/commons_air_filter_97257871.jpg,File:IR HDR with Polarizing filter (3054081120).jpg,"David from Colorado Springs, United States",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:IR_HDR_with_Polarizing_filter_(3054081120).jpg,rejected,Wrong subject/category.,Wheel-loader photograph; no automotive engine air filter is visible.
commons_alternator_10186168,electrical,alternator,data/external/open_license/images/alternator/commons_alternator_10186168.jpg,File:Alternator (cut-away) (01).JPG,S.J. de Waard,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,https://commons.wikimedia.org/wiki/File:Alternator_(cut-away)_(01).JPG,approved,,Automotive alternator cutaway view.
commons_alternator_10186172,electrical,alternator,data/external/open_license/images/alternator/commons_alternator_10186172.jpg,File:Alternator (cut-away) (02).JPG,S.J. de Waard,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,https://commons.wikimedia.org/wiki/File:Alternator_(cut-away)_(02).JPG,approved,,Automotive alternator cutaway view.
commons_alternator_10775454,electrical,alternator,data/external/open_license/images/alternator/commons_alternator_10775454.jpg,"File:Alternator armature winding (Rankin Kennedy, Electrical Installations, Vol III, 1903).jpg",Andy Dingley (scanner),Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,"https://commons.wikimedia.org/wiki/File:Alternator_armature_winding_(Rankin_Kennedy,_Electrical_Installations,_Vol_III,_1903).jpg",rejected,Non-automotive alternator component.,Historical armature-winding illustration; not a car alternator or usable automotive-part photograph.
commons_alternator_1242324,electrical,alternator,data/external/open_license/images/alternator/commons_alternator_1242324.jpg,File:AlternoBMWV6.JPG,Ton1~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,https://commons.wikimedia.org/wiki/File:AlternoBMWV6.JPG,approved,,Automotive alternator is clearly visible in the engine bay.
