image_id,part_group_id,object_group_id,image_path,part_family,part_category,source,split,sha256
external_image_air_filter_new_test,external_group_air_filter_new_test,wikimedia_object_air_filter_new_test,data/images/wikimedia/air_filter/commons_air_filter_new_test.jpg,filtration,air_filter,wikimedia,test,e6ccaada1c7f3d20c0c0af8779ec5caf77af9060eb8573e2679bfd921ab8f3d4
external_image_alternator_new_test,external_group_alternator_new_test,wikimedia_object_alternator_new_test,data/images/wikimedia/alternator/commons_alternator_new_test.jpg,electrical,alternator,wikimedia,test,b77fd2c8b818aca14883dca23bb3c94e1b8f4e1a98cd81d4eac1fd9f1cd9d364
external_image_brake_disc_new_test,external_group_brake_disc_new_test,wikimedia_object_brake_disc_new_test,data/images/wikimedia/brake_disc/commons_brake_disc_new_test.jpg,braking,brake_disc,wikimedia,test,b6a360c5f9f53b85644ae400e27c8a364dfe09834b9677af241c7e71abf5d727
external_image_brake_pad_new_test,external_group_brake_pad_new_test,wikimedia_object_brake_pad_new_test,data/images/wikimedia/brake_pad/commons_brake_pad_new_test.jpg,braking,brake_pad,wikimedia,test,4094091fea9509e7395ab410defc28c8e76c08086b0de3ad53f69d3a873fff09
external_image_coil_spring_new_test,external_group_coil_spring_new_test,wikimedia_object_coil_spring_new_test,data/images/wikimedia/coil_spring/commons_coil_spring_new_test.jpg,suspension,coil_spring,wikimedia,test,ebe618bf94df64fe08b81f2dc06f00ef897918177bf7afe89b8a6db3827ad336
external_image_headlight_new_test,external_group_headlight_new_test,wikimedia_object_headlight_new_test,data/images/wikimedia/headlight/commons_headlight_new_test.jpg,lighting,headlight,wikimedia,test,e51ac87190a7f5e415d41af9473f64f587ab36c6e7e22a9bd443e006123eb0df
external_image_oil_filter_new_test,external_group_oil_filter_new_test,wikimedia_object_oil_filter_new_test,data/images/wikimedia/oil_filter/commons_oil_filter_new_test.jpg,filtration,oil_filter,wikimedia,test,7bd9262caa25481f1184e3ee22ce7f2588792631a08f24f034513fe7536dbf16
external_image_shock_absorber_new_test,external_group_shock_absorber_new_test,wikimedia_object_shock_absorber_new_test,data/images/wikimedia/shock_absorber/commons_shock_absorber_new_test.jpg,suspension,shock_absorber,wikimedia,test,06f9a0f3f37d6064f75bc3c1b0cc5b8dacd499b5dd35877491477834b2b84f0f
external_image_starter_new_test,external_group_starter_new_test,wikimedia_object_starter_new_test,data/images/wikimedia/starter/commons_starter_new_test.jpg,electrical,starter,wikimedia,test,2b7825ec3c3a3becb4482aa48d3582ce382506593df0873dd797d95627876113
external_image_taillight_new_test,external_group_taillight_new_test,wikimedia_object_taillight_new_test,data/images/wikimedia/taillight/commons_taillight_new_test.jpg,lighting,taillight,wikimedia,test,8ff1d756079978a05651c53b12edbe010852b6e4444cb276e83469bbb397d5a7
air_filter_001_01,air_filter_001,synthetic_family_air_filter,data/images/generated/air_filter_001_01.png,filtration,air_filter,generated,train,876958c51015a894a09b66f1d18e4853447e47f28e58af0b0571337a260c869f
air_filter_002_01,air_filter_002,synthetic_family_air_filter,data/images/generated/air_filter_002_01.png,filtration,air_filter,generated,train,76a0e3675fb1235d6f5573d6200599438300caaf8bbbf488afb53765cac486af
air_filter_003_01,air_filter_003,synthetic_family_air_filter,data/images/generated/air_filter_003_01.png,filtration,air_filter,generated,train,588395f21412097d86a3c1eb157513aa77a5a4440a5323ec266e03776d83f880
air_filter_004_01,air_filter_004,synthetic_family_air_filter,data/images/generated/air_filter_004_01.png,filtration,air_filter,generated,train,7556ece65d5f4f553869e58aa7bf1b700d7bedf001511d7769813fa041b0c58b
air_filter_005_01,air_filter_005,synthetic_family_air_filter,data/images/generated/air_filter_005_01.png,filtration,air_filter,generated,train,ded30282e3dfb52c988983fd68ac7bc55e1d9ed6ecfcfa4b1df490a162bf118a
external_image_air_filter_2088950,external_group_air_filter_2088950,wikimedia_object_air_filter_2088950,data/images/wikimedia/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,wikimedia,train,31057e5b8ccd6aabce6d867c850efc1d32fa91e9e695e7398e5ad00a8d6bdcbd
external_image_air_filter_220313,external_group_air_filter_220313,wikimedia_object_air_filter_220313,data/images/wikimedia/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,wikimedia,train,0295930a0bd6f29eab1f44b872c7ae8a2c0b80eb5e914a9aba3a589b2a3119ca
external_image_air_filter_475880,external_group_air_filter_475880,wikimedia_air_filter_opel_astra_series,data/images/wikimedia/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,wikimedia,train,74f069974c688c712ddc05298d31a927b1f9f4258b7e941d9a486a6691d7a8db
external_image_air_filter_475881,external_group_air_filter_475881,wikimedia_air_filter_opel_astra_series,data/images/wikimedia/air_filter/commons_air_filter_475881.jpg,filtration,air_filter,wikimedia,train,b581a97d25f384a3d041ab25cb786d85009a37b73672fdd6bacfc171093a8d55
external_image_air_filter_9446495,external_group_air_filter_9446495,wikimedia_object_air_filter_9446495,data/images/wikimedia/air_filter/commons_air_filter_9446495.jpg,filtration,air_filter,wikimedia,train,34befa4f412df7124aa1855cf6a16700899db4a74e7a15008665dd9c9314ec26
alternator_001_01,alternator_001,synthetic_family_alternator,data/images/generated/alternator_001_01.png,electrical,alternator,generated,train,9bd57bfcea1571fb294bbe1181b7d021a1db01e2e99a67676d0cb9ccfa59c17e
alternator_002_01,alternator_002,synthetic_family_alternator,data/images/generated/alternator_002_01.png,electrical,alternator,generated,train,a764b95dd9e7e6d52142533596c65a82b08bc986aac005ece43df8bf49082514
