sample_id,image_id,part_group_id,image_path,part_family,part_category,description,label,source
air_filter_001_01_match,air_filter_001_01,air_filter_001,data/development/images/air_filter_001_01.png,filtration,air_filter,Automotive air filter.,MATCH,generated_development
air_filter_001_01_mismatch,air_filter_001_01,air_filter_001,data/development/images/air_filter_001_01.png,filtration,air_filter,Automotive starter motor.,MISMATCH,generated_development
air_filter_001_01_partial_match,air_filter_001_01,air_filter_001,data/development/images/air_filter_001_01.png,filtration,air_filter,Automotive oil filter.,PARTIAL_MATCH,generated_development
air_filter_002_01_match,air_filter_002_01,air_filter_002,data/development/images/air_filter_002_01.png,filtration,air_filter,Automotive air filter.,MATCH,generated_development
air_filter_002_01_mismatch,air_filter_002_01,air_filter_002,data/development/images/air_filter_002_01.png,filtration,air_filter,Automotive starter motor.,MISMATCH,generated_development
air_filter_002_01_partial_match,air_filter_002_01,air_filter_002,data/development/images/air_filter_002_01.png,filtration,air_filter,Automotive oil filter.,PARTIAL_MATCH,generated_development
air_filter_003_01_match,air_filter_003_01,air_filter_003,data/development/images/air_filter_003_01.png,filtration,air_filter,Automotive air filter.,MATCH,generated_development
air_filter_003_01_mismatch,air_filter_003_01,air_filter_003,data/development/images/air_filter_003_01.png,filtration,air_filter,Automotive starter motor.,MISMATCH,generated_development
air_filter_003_01_partial_match,air_filter_003_01,air_filter_003,data/development/images/air_filter_003_01.png,filtration,air_filter,Automotive oil filter.,PARTIAL_MATCH,generated_development
alternator_001_01_match,alternator_001_01,alternator_001,data/development/images/alternator_001_01.png,electrical,alternator,Automotive alternator.,MATCH,generated_development
alternator_001_01_mismatch,alternator_001_01,alternator_001,data/development/images/alternator_001_01.png,electrical,alternator,Automotive brake disc.,MISMATCH,generated_development
alternator_001_01_partial_match,alternator_001_01,alternator_001,data/development/images/alternator_001_01.png,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,generated_development
alternator_002_01_match,alternator_002_01,alternator_002,data/development/images/alternator_002_01.png,electrical,alternator,Automotive alternator.,MATCH,generated_development
alternator_002_01_mismatch,alternator_002_01,alternator_002,data/development/images/alternator_002_01.png,electrical,alternator,Automotive brake disc.,MISMATCH,generated_development
alternator_002_01_partial_match,alternator_002_01,alternator_002,data/development/images/alternator_002_01.png,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,generated_development
alternator_003_01_match,alternator_003_01,alternator_003,data/development/images/alternator_003_01.png,electrical,alternator,Automotive alternator.,MATCH,generated_development
alternator_003_01_mismatch,alternator_003_01,alternator_003,data/development/images/alternator_003_01.png,electrical,alternator,Automotive brake disc.,MISMATCH,generated_development
alternator_003_01_partial_match,alternator_003_01,alternator_003,data/development/images/alternator_003_01.png,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,generated_development
brake_disc_001_01_match,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive brake disc.,MATCH,generated_development
brake_disc_001_01_mismatch,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive shock absorber.,MISMATCH,generated_development
brake_disc_001_01_partial_match,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive brake pad set.,PARTIAL_MATCH,generated_development
brake_disc_002_01_match,brake_disc_002_01,brake_disc_002,data/development/images/brake_disc_002_01.png,braking,brake_disc,Automotive brake disc.,MATCH,generated_development
brake_disc_002_01_mismatch,brake_disc_002_01,brake_disc_002,data/development/images/brake_disc_002_01.png,braking,brake_disc,Automotive shock absorber.,MISMATCH,generated_development
brake_disc_002_01_partial_match,brake_disc_002_01,brake_disc_002,data/development/images/brake_disc_002_01.png,braking,brake_disc,Automotive brake pad set.,PARTIAL_MATCH,generated_development
brake_disc_003_01_match,brake_disc_003_01,brake_disc_003,data/development/images/brake_disc_003_01.png,braking,brake_disc,Automotive brake disc.,MATCH,generated_development
brake_disc_003_01_mismatch,brake_disc_003_01,brake_disc_003,data/development/images/brake_disc_003_01.png,braking,brake_disc,Automotive shock absorber.,MISMATCH,generated_development
brake_disc_003_01_partial_match,brake_disc_003_01,brake_disc_003,data/development/images/brake_disc_003_01.png,braking,brake_disc,Automotive brake pad set.,PARTIAL_MATCH,generated_development
brake_pad_001_01_match,brake_pad_001_01,brake_pad_001,data/development/images/brake_pad_001_01.png,braking,brake_pad,Automotive brake pad set.,MATCH,generated_development
brake_pad_001_01_mismatch,brake_pad_001_01,brake_pad_001,data/development/images/brake_pad_001_01.png,braking,brake_pad,Automotive shock absorber.,MISMATCH,generated_development
brake_pad_001_01_partial_match,brake_pad_001_01,brake_pad_001,data/development/images/brake_pad_001_01.png,braking,brake_pad,Automotive brake disc.,PARTIAL_MATCH,generated_development
brake_pad_002_01_match,brake_pad_002_01,brake_pad_002,data/development/images/brake_pad_002_01.png,braking,brake_pad,Automotive brake pad set.,MATCH,generated_development
brake_pad_002_01_mismatch,brake_pad_002_01,brake_pad_002,data/development/images/brake_pad_002_01.png,braking,brake_pad,Automotive shock absorber.,MISMATCH,generated_development
brake_pad_002_01_partial_match,brake_pad_002_01,brake_pad_002,data/development/images/brake_pad_002_01.png,braking,brake_pad,Automotive brake disc.,PARTIAL_MATCH,generated_development
brake_pad_003_01_match,brake_pad_003_01,brake_pad_003,data/development/images/brake_pad_003_01.png,braking,brake_pad,Automotive brake pad set.,MATCH,generated_development
brake_pad_003_01_mismatch,brake_pad_003_01,brake_pad_003,data/development/images/brake_pad_003_01.png,braking,brake_pad,Automotive shock absorber.,MISMATCH,generated_development
brake_pad_003_01_partial_match,brake_pad_003_01,brake_pad_003,data/development/images/brake_pad_003_01.png,braking,brake_pad,Automotive brake disc.,PARTIAL_MATCH,generated_development
coil_spring_001_01_match,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive coil spring.,MATCH,generated_development
coil_spring_001_01_mismatch,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive headlight assembly.,MISMATCH,generated_development
coil_spring_001_01_partial_match,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive shock absorber.,PARTIAL_MATCH,generated_development
coil_spring_002_01_match,coil_spring_002_01,coil_spring_002,data/development/images/coil_spring_002_01.png,suspension,coil_spring,Automotive coil spring.,MATCH,generated_development
coil_spring_002_01_mismatch,coil_spring_002_01,coil_spring_002,data/development/images/coil_spring_002_01.png,suspension,coil_spring,Automotive headlight assembly.,MISMATCH,generated_development
coil_spring_002_01_partial_match,coil_spring_002_01,coil_spring_002,data/development/images/coil_spring_002_01.png,suspension,coil_spring,Automotive shock absorber.,PARTIAL_MATCH,generated_development
coil_spring_003_01_match,coil_spring_003_01,coil_spring_003,data/development/images/coil_spring_003_01.png,suspension,coil_spring,Automotive coil spring.,MATCH,generated_development
coil_spring_003_01_mismatch,coil_spring_003_01,coil_spring_003,data/development/images/coil_spring_003_01.png,suspension,coil_spring,Automotive headlight assembly.,MISMATCH,generated_development
coil_spring_003_01_partial_match,coil_spring_003_01,coil_spring_003,data/development/images/coil_spring_003_01.png,suspension,coil_spring,Automotive shock absorber.,PARTIAL_MATCH,generated_development
external_sample_air_filter_2088950_match,external_image_air_filter_2088950,external_group_air_filter_2088950,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_2088950_mismatch,external_image_air_filter_2088950,external_group_air_filter_2088950,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
external_sample_air_filter_2088950_partial_match,external_image_air_filter_2088950,external_group_air_filter_2088950,data/external/open_license/images/air_filter/commons_air_filter_2088950.jpg,filtration,air_filter,Automotive engine oil filter.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_air_filter_220313_match,external_image_air_filter_220313,external_group_air_filter_220313,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_220313_mismatch,external_image_air_filter_220313,external_group_air_filter_220313,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
external_sample_air_filter_220313_partial_match,external_image_air_filter_220313,external_group_air_filter_220313,data/external/open_license/images/air_filter/commons_air_filter_220313.jpg,filtration,air_filter,Automotive engine oil filter.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_match,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_mismatch,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive alternator.,MISMATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_partial_match,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive engine oil filter.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_alternator_10186168_match,external_image_alternator_10186168,external_group_alternator_10186168,data/external/open_license/images/alternator/commons_alternator_10186168.jpg,electrical,alternator,Automotive alternator.,MATCH,wikimedia_commons_open_license
external_sample_alternator_10186168_mismatch,external_image_alternator_10186168,external_group_alternator_10186168,data/external/open_license/images/alternator/commons_alternator_10186168.jpg,electrical,alternator,Automotive brake pad.,MISMATCH,wikimedia_commons_open_license
external_sample_alternator_10186168_partial_match,external_image_alternator_10186168,external_group_alternator_10186168,data/external/open_license/images/alternator/commons_alternator_10186168.jpg,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_alternator_10186172_match,external_image_alternator_10186172,external_group_alternator_10186172,data/external/open_license/images/alternator/commons_alternator_10186172.jpg,electrical,alternator,Automotive alternator.,MATCH,wikimedia_commons_open_license
external_sample_alternator_10186172_mismatch,external_image_alternator_10186172,external_group_alternator_10186172,data/external/open_license/images/alternator/commons_alternator_10186172.jpg,electrical,alternator,Automotive brake pad.,MISMATCH,wikimedia_commons_open_license
