sample_id,image_id,part_group_id,image_path,part_family,part_category,description,label,source
air_filter_001_01_match,air_filter_001_01,air_filter_001,data/development/images/air_filter_001_01.png,filtration,air_filter,Automotive air filter.,MATCH,generated_development
air_filter_004_01_match,air_filter_004_01,air_filter_004,data/development/images/air_filter_004_01.png,filtration,air_filter,Automotive air filter.,MATCH,generated_development
air_filter_001_01_mismatch,air_filter_001_01,air_filter_001,data/development/images/air_filter_001_01.png,filtration,air_filter,Automotive starter motor.,MISMATCH,generated_development
air_filter_004_01_mismatch,air_filter_004_01,air_filter_004,data/development/images/air_filter_004_01.png,filtration,air_filter,Automotive starter motor.,MISMATCH,generated_development
air_filter_001_01_partial_match,air_filter_001_01,air_filter_001,data/development/images/air_filter_001_01.png,filtration,air_filter,Automotive oil filter.,PARTIAL_MATCH,generated_development
air_filter_004_01_partial_match,air_filter_004_01,air_filter_004,data/development/images/air_filter_004_01.png,filtration,air_filter,Automotive oil filter.,PARTIAL_MATCH,generated_development
alternator_001_01_match,alternator_001_01,alternator_001,data/development/images/alternator_001_01.png,electrical,alternator,Automotive alternator.,MATCH,generated_development
alternator_004_01_match,alternator_004_01,alternator_004,data/development/images/alternator_004_01.png,electrical,alternator,Automotive alternator.,MATCH,generated_development
alternator_001_01_mismatch,alternator_001_01,alternator_001,data/development/images/alternator_001_01.png,electrical,alternator,Automotive brake disc.,MISMATCH,generated_development
alternator_004_01_mismatch,alternator_004_01,alternator_004,data/development/images/alternator_004_01.png,electrical,alternator,Automotive brake disc.,MISMATCH,generated_development
alternator_001_01_partial_match,alternator_001_01,alternator_001,data/development/images/alternator_001_01.png,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,generated_development
alternator_004_01_partial_match,alternator_004_01,alternator_004,data/development/images/alternator_004_01.png,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,generated_development
brake_disc_001_01_match,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive brake disc.,MATCH,generated_development
brake_disc_004_01_match,brake_disc_004_01,brake_disc_004,data/development/images/brake_disc_004_01.png,braking,brake_disc,Automotive brake disc.,MATCH,generated_development
brake_disc_001_01_mismatch,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive shock absorber.,MISMATCH,generated_development
brake_disc_004_01_mismatch,brake_disc_004_01,brake_disc_004,data/development/images/brake_disc_004_01.png,braking,brake_disc,Automotive shock absorber.,MISMATCH,generated_development
brake_disc_001_01_partial_match,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive brake pad set.,PARTIAL_MATCH,generated_development
brake_disc_004_01_partial_match,brake_disc_004_01,brake_disc_004,data/development/images/brake_disc_004_01.png,braking,brake_disc,Automotive brake pad set.,PARTIAL_MATCH,generated_development
brake_pad_001_01_match,brake_pad_001_01,brake_pad_001,data/development/images/brake_pad_001_01.png,braking,brake_pad,Automotive brake pad set.,MATCH,generated_development
brake_pad_004_01_match,brake_pad_004_01,brake_pad_004,data/development/images/brake_pad_004_01.png,braking,brake_pad,Automotive brake pad set.,MATCH,generated_development
brake_pad_001_01_mismatch,brake_pad_001_01,brake_pad_001,data/development/images/brake_pad_001_01.png,braking,brake_pad,Automotive shock absorber.,MISMATCH,generated_development
brake_pad_004_01_mismatch,brake_pad_004_01,brake_pad_004,data/development/images/brake_pad_004_01.png,braking,brake_pad,Automotive shock absorber.,MISMATCH,generated_development
brake_pad_001_01_partial_match,brake_pad_001_01,brake_pad_001,data/development/images/brake_pad_001_01.png,braking,brake_pad,Automotive brake disc.,PARTIAL_MATCH,generated_development
brake_pad_004_01_partial_match,brake_pad_004_01,brake_pad_004,data/development/images/brake_pad_004_01.png,braking,brake_pad,Automotive brake disc.,PARTIAL_MATCH,generated_development
coil_spring_001_01_match,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive coil spring.,MATCH,generated_development
coil_spring_004_01_match,coil_spring_004_01,coil_spring_004,data/development/images/coil_spring_004_01.png,suspension,coil_spring,Automotive coil spring.,MATCH,generated_development
coil_spring_001_01_mismatch,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive headlight assembly.,MISMATCH,generated_development
coil_spring_004_01_mismatch,coil_spring_004_01,coil_spring_004,data/development/images/coil_spring_004_01.png,suspension,coil_spring,Automotive headlight assembly.,MISMATCH,generated_development
coil_spring_001_01_partial_match,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive shock absorber.,PARTIAL_MATCH,generated_development
coil_spring_004_01_partial_match,coil_spring_004_01,coil_spring_004,data/development/images/coil_spring_004_01.png,suspension,coil_spring,Automotive shock absorber.,PARTIAL_MATCH,generated_development
