sample_id,image_id,part_group_id,image_path,part_family,part_category,description,label,source
starter_001_01_match,starter_001_01,starter_001,data/development/images/starter_001_01.png,electrical,starter,Automotive starter motor.,MATCH,generated_development
external_sample_alternator_10186168_partial_match,external_image_alternator_10186168,external_group_alternator_10186168,data/external/open_license/images/alternator/commons_alternator_10186168.jpg,electrical,alternator,Automotive starter motor.,PARTIAL_MATCH,wikimedia_commons_open_license
air_filter_003_01_mismatch,air_filter_003_01,air_filter_003,data/development/images/air_filter_003_01.png,filtration,air_filter,Automotive starter motor.,MISMATCH,generated_development
external_sample_alternator_10186168_match,external_image_alternator_10186168,external_group_alternator_10186168,data/external/open_license/images/alternator/commons_alternator_10186168.jpg,electrical,alternator,Automotive alternator.,MATCH,wikimedia_commons_open_license
headlight_001_01_match,headlight_001_01,headlight_001,data/development/images/headlight_001_01.png,lighting,headlight,Automotive headlight assembly.,MATCH,generated_development
brake_disc_003_01_mismatch,brake_disc_003_01,brake_disc_003,data/development/images/brake_disc_003_01.png,braking,brake_disc,Automotive shock absorber.,MISMATCH,generated_development
external_sample_brake_disc_2119919_match,external_image_brake_disc_2119919,external_group_brake_disc_2119919,data/external/open_license/images/brake_disc/commons_brake_disc_2119919.jpg,braking,brake_disc,Automotive brake disc.,MATCH,wikimedia_commons_open_license
taillight_003_01_mismatch,taillight_003_01,taillight_003,data/development/images/taillight_003_01.png,lighting,taillight,Automotive oil filter.,MISMATCH,generated_development
oil_filter_003_01_mismatch,oil_filter_003_01,oil_filter_003,data/development/images/oil_filter_003_01.png,filtration,oil_filter,Automotive starter motor.,MISMATCH,generated_development
coil_spring_001_01_mismatch,coil_spring_001_01,coil_spring_001,data/development/images/coil_spring_001_01.png,suspension,coil_spring,Automotive headlight assembly.,MISMATCH,generated_development
external_sample_coil_spring_18496373_partial_match,external_image_coil_spring_18496373,external_group_coil_spring_18496373,data/external/open_license/images/coil_spring/commons_coil_spring_18496373.jpg,suspension,coil_spring,Automotive shock absorber.,PARTIAL_MATCH,wikimedia_commons_open_license
external_sample_air_filter_475880_match,external_image_air_filter_475880,external_group_air_filter_475880,data/external/open_license/images/air_filter/commons_air_filter_475880.jpg,filtration,air_filter,Automotive engine air filter.,MATCH,wikimedia_commons_open_license
external_sample_brake_disc_2119919_partial_match,external_image_brake_disc_2119919,external_group_brake_disc_2119919,data/external/open_license/images/brake_disc/commons_brake_disc_2119919.jpg,braking,brake_disc,Automotive brake pad.,PARTIAL_MATCH,wikimedia_commons_open_license
taillight_003_01_match,taillight_003_01,taillight_003,data/development/images/taillight_003_01.png,lighting,taillight,Automotive taillight assembly.,MATCH,generated_development
brake_disc_001_01_partial_match,brake_disc_001_01,brake_disc_001,data/development/images/brake_disc_001_01.png,braking,brake_disc,Automotive brake pad set.,PARTIAL_MATCH,generated_development
oil_filter_002_01_mismatch,oil_filter_002_01,oil_filter_002,data/development/images/oil_filter_002_01.png,filtration,oil_filter,Automotive starter motor.,MISMATCH,generated_development
