sample_id,description,label,token_count,encoded_sequence
brake_disc_001_01_mismatch,Automotive shock absorber.,MISMATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
coil_spring_003_01_match,Automotive coil spring.,MATCH,3,"[2, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_001_01_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_pad_20811161_match,Automotive brake pad.,MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_001_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_003_01_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_003_01_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_2119919_partial_match,Automotive brake pad.,PARTIAL_MATCH,3,"[2, 4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_shock_absorber_1196183_partial_match,Automotive suspension coil spring.,PARTIAL_MATCH,4,"[2, 20, 16, 18, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1048980_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_1859134_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
shock_absorber_003_01_match,Automotive shock absorber.,MATCH,3,"[2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_brake_disc_32848093_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_003_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_2088950_match,Automotive engine air filter.,MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_003_01_mismatch,Automotive brake disc.,MISMATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_air_filter_475880_match,Automotive engine air filter.,MATCH,4,"[2, 13, 14, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_1650041_partial_match,Automotive alternator.,PARTIAL_MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_2096229_match,Automotive headlight assembly.,MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_10186168_partial_match,Automotive starter motor.,PARTIAL_MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_headlight_2096229_mismatch,Automotive engine oil filter.,MISMATCH,4,"[2, 13, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_starter_13616832_match,Automotive starter motor.,MATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
headlight_003_01_partial_match,Automotive taillight assembly.,PARTIAL_MATCH,3,"[2, 19, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_pad_002_01_match,Automotive brake pad set.,MATCH,4,"[2, 4, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0]"
alternator_001_01_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_001_01_mismatch,Automotive oil filter.,MISMATCH,3,"[2, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
external_sample_alternator_1242324_match,Automotive alternator.,MATCH,2,"[2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
brake_disc_001_01_match,Automotive brake disc.,MATCH,3,"[2, 4, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
oil_filter_002_01_mismatch,Automotive starter motor.,MISMATCH,3,"[2, 12, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
taillight_001_01_partial_match,Automotive headlight assembly.,PARTIAL_MATCH,3,"[2, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
