experiment_id,run_id,family,variant,seed,status,parameter_count,epochs_completed,best_epoch,training_time_seconds,validation_accuracy,validation_macro_f1,final_train_accuracy,final_train_loss,final_validation_loss,generalization_gap,notes
SEQ-005,tfidf-ngram-1-1-c-0.1,tfidf_logistic,ngram-1-1-c-0.1,42,COMPLETED,63,1,1,0.014889,0.4166666667,0.32996633,0.4166666666666667,,,0.0,TF-IDF vocabulary=20; classical baseline.
SEQ-005,tfidf-ngram-1-1-c-1,tfidf_logistic,ngram-1-1-c-1,42,COMPLETED,63,1,1,0.004235,0.4166666667,0.32996633,0.4166666666666667,,,0.0,TF-IDF vocabulary=20; classical baseline.
SEQ-005,tfidf-ngram-1-1-c-10,tfidf_logistic,ngram-1-1-c-10,42,COMPLETED,63,1,1,0.004936,0.4166666667,0.32996633,0.4166666666666667,,,0.0,TF-IDF vocabulary=20; classical baseline.
SEQ-005,tfidf-ngram-1-2-c-0.1,tfidf_logistic,ngram-1-2-c-0.1,42,COMPLETED,135,1,1,0.003222,0.4166666667,0.32996633,0.4166666666666667,,,0.0,TF-IDF vocabulary=44; classical baseline.
SEQ-005,tfidf-ngram-1-2-c-1,tfidf_logistic,ngram-1-2-c-1,42,COMPLETED,135,1,1,0.00399,0.4166666667,0.32996633,0.4166666666666667,,,0.0,TF-IDF vocabulary=44; classical baseline.
SEQ-005,tfidf-ngram-1-2-c-10,tfidf_logistic,ngram-1-2-c-10,42,COMPLETED,135,1,1,0.005162,0.4166666667,0.32996633,0.4166666666666667,,,0.0,TF-IDF vocabulary=44; classical baseline.
SEQ-004,embedding_average-seed-42,embedding_average,embedding_average,42,COMPLETED,1227,3,3,0.679597,0.3666666667,0.2915816673,0.39444443583488464,1.0978953838348389,1.0983906984329224,0.027777769168218003,Keras sequence model; train/validation only.
SEQ-004,embedding_average-seed-43,embedding_average,embedding_average,43,COMPLETED,1227,3,3,0.610613,0.3333333333,0.2488425926,0.32777777314186096,1.0984745025634766,1.0985790491104126,-0.005555560191472353,Keras sequence model; train/validation only.
SEQ-004,embedding_average-seed-44,embedding_average,embedding_average,44,COMPLETED,1227,3,3,0.642348,0.3333333333,0.1666666667,0.3222222328186035,1.0992809534072876,1.0986577272415161,-0.0111111005147298,Keras sequence model; train/validation only.
SEQ-006,textcnn-seed-42,textcnn,textcnn,42,COMPLETED,3755,3,3,0.756791,0.35,0.303837736,0.2944444417953491,1.0983357429504395,1.096381425857544,-0.05555555820465086,Keras sequence model; train/validation only.
SEQ-006,textcnn-seed-43,textcnn,textcnn,43,COMPLETED,3755,3,3,0.788736,0.3833333333,0.2872926448,0.3611111044883728,1.0977728366851807,1.0972273349761963,-0.022222228844960557,Keras sequence model; train/validation only.
SEQ-006,textcnn-seed-44,textcnn,textcnn,44,COMPLETED,3755,3,3,0.980802,0.4,0.3271055381,0.42222222685813904,1.0961005687713623,1.0957438945770264,0.022222226858139016,Keras sequence model; train/validation only.
SEQ-006,gru-seed-42,gru,gru,42,COMPLETED,5175,3,2,1.007726,0.3333333333,0.1934876717,0.32777777314186096,1.099188208580017,1.0986193418502808,-0.005555560191472353,Keras sequence model; train/validation only.
SEQ-006,gru-seed-43,gru,gru,43,COMPLETED,5175,3,2,0.999951,0.3333333333,0.1666666667,0.35555556416511536,1.0987740755081177,1.0986599922180176,0.02222223083178204,Keras sequence model; train/validation only.
SEQ-006,gru-seed-44,gru,gru,44,COMPLETED,5175,3,2,1.056395,0.3333333333,0.1666666667,0.3444444537162781,1.0976746082305908,1.0986409187316895,0.011111120382944761,Keras sequence model; train/validation only.
SEQ-006,lstm-seed-42,lstm,lstm,42,COMPLETED,6575,3,3,0.977365,0.3333333333,0.1666666667,0.3444444537162781,1.0985887050628662,1.0985599756240845,0.011111120382944761,Keras sequence model; train/validation only.
SEQ-006,lstm-seed-43,lstm,lstm,43,COMPLETED,6575,3,3,1.155556,0.3333333333,0.1666666667,0.28333333134651184,1.099902868270874,1.0984851121902466,-0.050000001986821474,Keras sequence model; train/validation only.
SEQ-006,lstm-seed-44,lstm,lstm,44,COMPLETED,6575,3,3,1.135601,0.3333333333,0.1666666667,0.3722222149372101,1.0982743501663208,1.098510503768921,0.03888888160387677,Keras sequence model; train/validation only.
SEQ-007,transformer-seed-42,transformer,transformer,42,COMPLETED,5499,3,2,1.776338,0.3333333333,0.1666666667,0.35555556416511536,1.142839789390564,1.1942403316497803,0.02222223083178204,Keras sequence model; train/validation only.
SEQ-007,transformer-seed-43,transformer,transformer,43,COMPLETED,5499,3,3,1.507147,0.3333333333,0.2649151615,0.3222222328186035,1.3218863010406494,1.0961545705795288,-0.0111111005147298,Keras sequence model; train/validation only.
SEQ-007,transformer-seed-44,transformer,transformer,44,COMPLETED,5499,3,2,1.634939,0.3666666667,0.2475900558,0.35555556416511536,1.1978230476379395,1.1710957288742065,-0.011111102501551284,Keras sequence model; train/validation only.
