run_id,experiment_id,representation,resolution,seed,augmentation_policy,validation_macro_f1,validation_accuracy,feature_dimension,parameter_count,training_time_seconds,inference_time_ms,per_category_f1_json,status
VIS008_none_seed42,VIS-008,global_pool,64,42,none,0.66,0.65,240,2410,0.01989039999898523,0.02697000018088147,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS008_none_seed43,VIS-008,global_pool,64,43,none,0.66,0.65,240,2410,0.01772010000422597,0.023890000011306256,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS008_none_seed44,VIS-008,global_pool,64,44,none,0.66,0.65,240,2410,0.017519700006232597,0.02397499993094243,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS008_brightness_seed42,VIS-008,global_pool,64,42,brightness,0.6966666666666667,0.7,240,2410,0.025682199993752874,0.023749999672872946,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.6666666666666666, ""starter"": 0.6666666666666666, ""taillight"": 0.6666666666666666}",COMPLETED
VIS008_brightness_seed43,VIS-008,global_pool,64,43,brightness,0.7,0.7,240,2410,0.024393500003498048,0.025104999804170802,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.4, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.8, ""starter"": 0.6666666666666666, ""taillight"": 0.6666666666666666}",COMPLETED
VIS008_brightness_seed44,VIS-008,global_pool,64,44,brightness,0.6538095238095238,0.65,240,2410,0.024024099999223836,0.024259999918285757,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS008_center_crop_seed42,VIS-008,global_pool,64,42,center_crop,0.6499999999999999,0.65,240,2410,0.024353799992240965,0.028730000485666096,"{""air_filter"": 0.8, ""alternator"": 0.6666666666666666, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.5, ""coil_spring"": 1.0, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.5, ""shock_absorber"": 0.4, ""starter"": 0.8, ""taillight"": 0.5}",COMPLETED
VIS008_center_crop_seed43,VIS-008,global_pool,64,43,center_crop,0.6933333333333334,0.7,240,2410,0.02565640000102576,0.028634999762289226,"{""air_filter"": 0.8, ""alternator"": 0.6666666666666666, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.5, ""coil_spring"": 1.0, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.5, ""shock_absorber"": 0.6666666666666666, ""starter"": 0.8, ""taillight"": 0.6666666666666666}",COMPLETED
VIS008_center_crop_seed44,VIS-008,global_pool,64,44,center_crop,0.7033333333333334,0.7,240,2410,0.021287299998220988,0.02439499949105084,"{""air_filter"": 0.8, ""alternator"": 1.0, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 1.0, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.5, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.6666666666666666}",COMPLETED
VIS008_jpeg_compression_seed42,VIS-008,global_pool,64,42,jpeg_compression,0.6604761904761904,0.65,240,2410,0.021200600007432513,0.028144999669166282,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS008_jpeg_compression_seed43,VIS-008,global_pool,64,43,jpeg_compression,0.6604761904761904,0.65,240,2410,0.026602300000377,0.026639999850885943,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS008_jpeg_compression_seed44,VIS-008,global_pool,64,44,jpeg_compression,0.6604761904761904,0.65,240,2410,0.020524300009128638,0.024385000142501667,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS008_combined_seed42,VIS-008,global_pool,64,42,combined,0.6933333333333334,0.7,240,2410,0.023501400006352924,0.02682999984244816,"{""air_filter"": 0.6666666666666666, ""alternator"": 1.0, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.5, ""shock_absorber"": 0.8, ""starter"": 0.8, ""taillight"": 0.6666666666666666}",COMPLETED
VIS008_combined_seed43,VIS-008,global_pool,64,43,combined,0.6933333333333334,0.7,240,2410,0.02255660000082571,0.02382000020588748,"{""air_filter"": 0.8, ""alternator"": 1.0, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.5, ""shock_absorber"": 0.6666666666666666, ""starter"": 0.8, ""taillight"": 0.6666666666666666}",COMPLETED
VIS008_combined_seed44,VIS-008,global_pool,64,44,combined,0.7433333333333334,0.75,240,2410,0.024345400001038797,0.02360500002396293,"{""air_filter"": 0.6666666666666666, ""alternator"": 0.8, ""brake_disc"": 0.5, ""brake_pad"": 1.0, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.8, ""starter"": 1.0, ""taillight"": 0.6666666666666666}",COMPLETED
