label,left_sample_id,right_sample_id,left_score,right_score,absolute_difference,tie_threshold,predicted_tie,flip_consistency_error,strategy
MATCH,air_filter_004_01_match,alternator_004_01_match,0.9779887348413467,0.9929313776083291,0.014942642766982317,0.05,True,0.0,class_probability_expected_score
MATCH,brake_disc_004_01_match,brake_pad_004_01_match,0.9898981512524188,0.9964072140865028,0.006509062834084034,0.05,True,0.0,class_probability_expected_score
MATCH,coil_spring_004_01_match,external_sample_air_filter_475881_match,0.9914688197895885,0.9967895047739148,0.005320684984326363,0.05,True,0.0,class_probability_expected_score
MATCH,external_sample_alternator_12811841_match,external_sample_brake_disc_36552019_match,0.9933674749918282,0.010420347796753049,0.9829471271950752,0.05,False,0.0,class_probability_expected_score
MATCH,external_sample_brake_pad_2470132_match,external_sample_coil_spring_4525127_match,0.9834919320419431,0.04851600155234337,0.9349759304895997,0.05,False,0.0,class_probability_expected_score
MATCH,external_sample_headlight_2983638_match,external_sample_oil_filter_1715177_match,0.01246727118268609,0.48852782882750034,0.47606055764481425,0.05,False,0.0,class_probability_expected_score
MATCH,external_sample_shock_absorber_551757_match,external_sample_starter_1650046_match,0.9202249757945538,0.9839860526844859,0.06376107688993216,0.05,False,0.0,class_probability_expected_score
MATCH,external_sample_taillight_4518332_match,headlight_004_01_match,0.009786920854821801,0.9945081954356283,0.9847212745808065,0.05,False,0.0,class_probability_expected_score
MATCH,oil_filter_004_01_match,shock_absorber_004_01_match,0.9945400008000433,0.9957021079026163,0.001162107102572918,0.05,True,0.0,class_probability_expected_score
MATCH,starter_004_01_match,taillight_004_01_match,0.9949854612350464,0.9941448518075049,0.0008406094275414944,0.05,True,0.0,class_probability_expected_score
MISMATCH,air_filter_004_01_mismatch,alternator_004_01_mismatch,0.014972305856645107,0.00776057131588459,0.007211734540760517,0.05,True,0.0,class_probability_expected_score
MISMATCH,brake_disc_004_01_mismatch,brake_pad_004_01_mismatch,0.010439922101795673,0.004616625607013702,0.005823296494781971,0.05,True,0.0,class_probability_expected_score
MISMATCH,coil_spring_004_01_mismatch,external_sample_air_filter_475881_mismatch,0.014253658708184958,0.005694867228157818,0.00855879148002714,0.05,True,0.0,class_probability_expected_score
MISMATCH,external_sample_alternator_12811841_mismatch,external_sample_brake_disc_36552019_mismatch,0.013868995476514101,0.009379964787513018,0.004489030689001083,0.05,True,0.0,class_probability_expected_score
MISMATCH,external_sample_brake_pad_2470132_mismatch,external_sample_coil_spring_4525127_mismatch,0.015831170603632927,0.03269269224256277,0.016861521638929844,0.05,True,0.0,class_probability_expected_score
MISMATCH,external_sample_headlight_2983638_mismatch,external_sample_oil_filter_1715177_mismatch,0.4949404327198863,0.02970818802714348,0.4652322446927428,0.05,False,0.0,class_probability_expected_score
MISMATCH,external_sample_shock_absorber_551757_mismatch,external_sample_starter_1650046_mismatch,0.037631113082170486,0.013542263302952051,0.024088849779218435,0.05,True,0.0,class_probability_expected_score
MISMATCH,external_sample_taillight_4518332_mismatch,headlight_004_01_mismatch,0.01106988382525742,0.0054884315468370914,0.005581452278420329,0.05,True,0.0,class_probability_expected_score
MISMATCH,oil_filter_004_01_mismatch,shock_absorber_004_01_mismatch,0.004865734605118632,0.00434382539242506,0.000521909212693572,0.05,True,0.0,class_probability_expected_score
MISMATCH,starter_004_01_mismatch,taillight_004_01_mismatch,0.005245660664513707,0.009342503035441041,0.004096842370927334,0.05,True,0.0,class_probability_expected_score
PARTIAL_MATCH,air_filter_004_01_partial_match,alternator_004_01_partial_match,0.4949909243732691,0.49776708520948887,0.0027761608362197876,0.05,True,0.0,class_probability_expected_score
PARTIAL_MATCH,brake_disc_004_01_partial_match,brake_pad_004_01_partial_match,0.49987645633518696,0.49854459473863244,0.0013318615965545177,0.05,True,0.0,class_probability_expected_score
PARTIAL_MATCH,coil_spring_004_01_partial_match,external_sample_air_filter_475881_partial_match,0.49785816110670567,0.49810643680393696,0.0002482756972312927,0.05,True,0.0,class_probability_expected_score
PARTIAL_MATCH,external_sample_alternator_12811841_partial_match,external_sample_brake_disc_36552019_partial_match,0.49794383905828,0.01530064595863223,0.48264319309964776,0.05,False,0.0,class_probability_expected_score
PARTIAL_MATCH,external_sample_brake_pad_2470132_partial_match,external_sample_coil_spring_4525127_partial_match,0.49468631483614445,0.037075258791446686,0.45761105604469776,0.05,False,0.0,class_probability_expected_score
PARTIAL_MATCH,external_sample_headlight_2983638_partial_match,external_sample_oil_filter_1715177_partial_match,0.01820489764213562,0.9567528814077377,0.9385479837656021,0.05,False,0.0,class_probability_expected_score
PARTIAL_MATCH,external_sample_shock_absorber_551757_partial_match,external_sample_starter_1650046_partial_match,0.49655403196811676,0.49876504950225353,0.002211017534136772,0.05,True,0.0,class_probability_expected_score
PARTIAL_MATCH,external_sample_taillight_4518332_partial_match,headlight_004_01_partial_match,0.006699370918795466,0.49988541565835476,0.4931860447395593,0.05,False,0.0,class_probability_expected_score
PARTIAL_MATCH,oil_filter_004_01_partial_match,shock_absorber_004_01_partial_match,0.499920638743788,0.49968540109694004,0.00023523764684796333,0.05,True,0.0,class_probability_expected_score
PARTIAL_MATCH,starter_004_01_partial_match,taillight_004_01_partial_match,0.49971339711919427,0.4984533656388521,0.0012600314803421497,0.05,True,0.0,class_probability_expected_score
