run_id,experiment_id,representation,resolution,seed,augmentation_policy,validation_macro_f1,validation_accuracy,feature_dimension,parameter_count,training_time_seconds,inference_time_ms,per_category_f1_json,status
VIS004_global_pool_32_seed42,VIS-004,global_pool,32,42,none,0.6500000000000001,0.65,240,2410,0.029842899995855987,0.02726500024436973,"{""air_filter"": 0.8, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS004_global_pool_32_seed43,VIS-004,global_pool,32,43,none,0.6500000000000001,0.65,240,2410,0.019073100003879517,0.024760000087553635,"{""air_filter"": 0.8, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS004_global_pool_32_seed44,VIS-004,global_pool,32,44,none,0.6500000000000001,0.65,240,2410,0.017946300009498373,0.02313499935553409,"{""air_filter"": 0.8, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS004_global_pool_48_seed42,VIS-004,global_pool,48,42,none,0.6571428571428571,0.65,240,2410,0.01734059999580495,0.023725000210106373,"{""air_filter"": 1.0, ""alternator"": 0.6666666666666666, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS004_global_pool_48_seed43,VIS-004,global_pool,48,43,none,0.6571428571428571,0.65,240,2410,0.01616570001351647,0.022854999406263232,"{""air_filter"": 1.0, ""alternator"": 0.6666666666666666, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS004_global_pool_48_seed44,VIS-004,global_pool,48,44,none,0.6571428571428571,0.65,240,2410,0.016230300010647625,0.023905000125523657,"{""air_filter"": 1.0, ""alternator"": 0.6666666666666666, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.5, ""starter"": 0.5714285714285714, ""taillight"": 0.5}",COMPLETED
VIS004_global_pool_64_seed42,VIS-004,global_pool,64,42,none,0.66,0.65,240,2410,0.01822830000310205,0.02454999994370155,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS004_global_pool_64_seed43,VIS-004,global_pool,64,43,none,0.66,0.65,240,2410,0.01694800000404939,0.022400000307243317,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS004_global_pool_64_seed44,VIS-004,global_pool,64,44,none,0.66,0.65,240,2410,0.017438399998354726,0.02384999970672652,"{""air_filter"": 1.0, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.6666666666666666, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.6666666666666666, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.4}",COMPLETED
VIS004_intermediate_fixed_conv_32_seed42,VIS-004,intermediate_fixed_conv,32,42,none,0.5766666666666667,0.6,368,3690,0.01084080000873655,0.0246899995545391,"{""air_filter"": 0.8, ""alternator"": 0.8, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.5, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.6666666666666666, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_32_seed43,VIS-004,intermediate_fixed_conv,32,43,none,0.5766666666666667,0.6,368,3690,0.009227100003045052,0.025839999580057338,"{""air_filter"": 0.8, ""alternator"": 0.8, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.5, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.6666666666666666, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_32_seed44,VIS-004,intermediate_fixed_conv,32,44,none,0.5766666666666667,0.6,368,3690,0.009761799999978393,0.023269999655894935,"{""air_filter"": 0.8, ""alternator"": 0.8, ""brake_disc"": 0.5, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.5, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.6666666666666666, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_48_seed42,VIS-004,intermediate_fixed_conv,48,42,none,0.5433333333333333,0.55,368,3690,0.012315400002989918,0.02521999995224178,"{""air_filter"": 1.0, ""alternator"": 0.4, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_48_seed43,VIS-004,intermediate_fixed_conv,48,43,none,0.5433333333333333,0.55,368,3690,0.010958600003505126,0.023854999744798988,"{""air_filter"": 1.0, ""alternator"": 0.4, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_48_seed44,VIS-004,intermediate_fixed_conv,48,44,none,0.5433333333333333,0.55,368,3690,0.011338399999658577,0.02335500030312687,"{""air_filter"": 1.0, ""alternator"": 0.4, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_64_seed42,VIS-004,intermediate_fixed_conv,64,42,none,0.5533333333333333,0.55,368,3690,0.010240799994789995,0.0247500000114087,"{""air_filter"": 1.0, ""alternator"": 0.3333333333333333, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_64_seed43,VIS-004,intermediate_fixed_conv,64,43,none,0.5533333333333333,0.55,368,3690,0.008926199996494688,0.023475000489270315,"{""air_filter"": 1.0, ""alternator"": 0.3333333333333333, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_intermediate_fixed_conv_64_seed44,VIS-004,intermediate_fixed_conv,64,44,none,0.5533333333333333,0.55,368,3690,0.00923490000423044,0.023669999791309237,"{""air_filter"": 1.0, ""alternator"": 0.3333333333333333, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.6666666666666666, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_32_seed42,VIS-004,multi_stage_fixed_conv,32,42,none,0.5433333333333333,0.55,416,4170,0.013146899989806116,0.030425000295508653,"{""air_filter"": 0.6666666666666666, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.5, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.4, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_32_seed43,VIS-004,multi_stage_fixed_conv,32,43,none,0.5433333333333333,0.55,416,4170,0.012553300010040402,0.033754999458324164,"{""air_filter"": 0.6666666666666666, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.5, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.4, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_32_seed44,VIS-004,multi_stage_fixed_conv,32,44,none,0.5433333333333333,0.55,416,4170,0.011569399997824803,0.025304999871877953,"{""air_filter"": 0.6666666666666666, ""alternator"": 0.8, ""brake_disc"": 0.6666666666666666, ""brake_pad"": 0.6666666666666666, ""coil_spring"": 0.5, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.4, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_48_seed42,VIS-004,multi_stage_fixed_conv,48,42,none,0.5466666666666666,0.55,416,4170,0.011584499996388331,0.02546500036260113,"{""air_filter"": 1.0, ""alternator"": 0.5, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.3333333333333333, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_48_seed43,VIS-004,multi_stage_fixed_conv,48,43,none,0.5466666666666666,0.55,416,4170,0.012439900005119853,0.03424499955144711,"{""air_filter"": 1.0, ""alternator"": 0.5, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.3333333333333333, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_48_seed44,VIS-004,multi_stage_fixed_conv,48,44,none,0.5466666666666666,0.55,416,4170,0.014313099993159994,0.03279000011389144,"{""air_filter"": 1.0, ""alternator"": 0.5, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.3333333333333333, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_64_seed42,VIS-004,multi_stage_fixed_conv,64,42,none,0.5433333333333333,0.55,416,4170,0.01158610000857152,0.02669000023161061,"{""air_filter"": 1.0, ""alternator"": 0.4, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_64_seed43,VIS-004,multi_stage_fixed_conv,64,43,none,0.5433333333333333,0.55,416,4170,0.01085869999951683,0.02380500009167008,"{""air_filter"": 1.0, ""alternator"": 0.4, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
VIS004_multi_stage_fixed_conv_64_seed44,VIS-004,multi_stage_fixed_conv,64,44,none,0.5433333333333333,0.55,416,4170,0.010262499999953434,0.02332500007469207,"{""air_filter"": 1.0, ""alternator"": 0.4, ""brake_disc"": 0.5, ""brake_pad"": 0.5, ""coil_spring"": 0.8, ""headlight"": 0.6666666666666666, ""oil_filter"": 0.0, ""shock_absorber"": 0.4, ""starter"": 0.5, ""taillight"": 0.6666666666666666}",COMPLETED
