part_category,samples,correct,accuracy,macro_f1
air_filter,12,9,0.75,0.6962962962962963
alternator,12,4,0.3333333333333333,0.26936026936026936
brake_disc,12,5,0.4166666666666667,0.41005291005291006
brake_pad,12,5,0.4166666666666667,0.41904761904761906
coil_spring,12,1,0.08333333333333333,0.07407407407407407
headlight,12,5,0.4166666666666667,0.4148148148148148
oil_filter,12,2,0.16666666666666666,0.13333333333333333
shock_absorber,12,4,0.3333333333333333,0.3333333333333333
starter,12,10,0.8333333333333334,0.8148148148148148
taillight,12,10,0.8333333333333334,0.8222222222222223
