part_category,validation_image_id,validation_source,validation_image_path,nearest_train_image_id,nearest_train_source,nearest_train_image_path,normalized_cosine_similarity,dhash_hamming_distance
air_filter,dataset_v2_air_filter_006,dataset_v2,data/images/dataset_v2/air_filter/dataset_v2_air_filter_006.jpg,dataset_v2_air_filter_001,dataset_v2,data/images/dataset_v2/air_filter/dataset_v2_air_filter_001.jpg,0.55145633,24
air_filter,external_image_air_filter_new_validation,wikimedia,data/images/wikimedia/air_filter/commons_air_filter_new_validation.jpg,external_image_air_filter_220313,wikimedia,data/images/wikimedia/air_filter/commons_air_filter_220313.jpg,0.34020546,32
alternator,dataset_v2_alternator_006,dataset_v2,data/images/dataset_v2/alternator/dataset_v2_alternator_006.jpg,dataset_v2_alternator_004,dataset_v2,data/images/dataset_v2/alternator/dataset_v2_alternator_004.jpg,0.53507805,22
alternator,external_image_alternator_new_validation,wikimedia,data/images/wikimedia/alternator/commons_alternator_new_validation.jpg,dataset_v2_alternator_003,dataset_v2,data/images/dataset_v2/alternator/dataset_v2_alternator_003.jpg,0.39681885,12
brake_disc,dataset_v2_brake_disc_006,dataset_v2,data/images/dataset_v2/brake_disc/dataset_v2_brake_disc_006.jpg,external_image_brake_disc_32848093,wikimedia,data/images/wikimedia/brake_disc/commons_brake_disc_32848093.jpg,0.58371776,28
brake_disc,external_image_brake_disc_new_validation,wikimedia,data/images/wikimedia/brake_disc/commons_brake_disc_new_validation.jpg,dataset_v2_brake_disc_002,dataset_v2,data/images/dataset_v2/brake_disc/dataset_v2_brake_disc_002.jpg,0.53212929,25
brake_pad,dataset_v2_brake_pad_006,dataset_v2,data/images/dataset_v2/brake_pad/dataset_v2_brake_pad_006.jpg,dataset_v2_brake_pad_002,dataset_v2,data/images/dataset_v2/brake_pad/dataset_v2_brake_pad_002.jpg,0.50024366,29
brake_pad,external_image_brake_pad_new_validation,wikimedia,data/images/wikimedia/brake_pad/commons_brake_pad_new_validation.jpg,dataset_v2_brake_pad_005,dataset_v2,data/images/dataset_v2/brake_pad/dataset_v2_brake_pad_005.jpg,0.19361392,26
coil_spring,dataset_v2_coil_spring_006,dataset_v2,data/images/dataset_v2/coil_spring/dataset_v2_coil_spring_006.jpg,dataset_v2_coil_spring_004,dataset_v2,data/images/dataset_v2/coil_spring/dataset_v2_coil_spring_004.jpg,0.15553358,23
coil_spring,external_image_coil_spring_new_validation,wikimedia,data/images/wikimedia/coil_spring/commons_coil_spring_new_validation.jpg,dataset_v2_coil_spring_001,dataset_v2,data/images/dataset_v2/coil_spring/dataset_v2_coil_spring_001.jpg,0.28985777,20
headlight,dataset_v2_headlight_006,dataset_v2,data/images/dataset_v2/headlight/dataset_v2_headlight_006.jpg,dataset_v2_headlight_002,dataset_v2,data/images/dataset_v2/headlight/dataset_v2_headlight_002.jpg,0.44677067,21
headlight,external_image_headlight_new_validation,wikimedia,data/images/wikimedia/headlight/commons_headlight_new_validation.jpg,external_image_headlight_1603335,wikimedia,data/images/wikimedia/headlight/commons_headlight_1603335.jpg,0.5255543,12
oil_filter,dataset_v2_oil_filter_006,dataset_v2,data/images/dataset_v2/oil_filter/dataset_v2_oil_filter_006.jpg,dataset_v2_oil_filter_002,dataset_v2,data/images/dataset_v2/oil_filter/dataset_v2_oil_filter_002.jpg,0.6943621,17
oil_filter,external_image_oil_filter_new_validation,wikimedia,data/images/wikimedia/oil_filter/commons_oil_filter_new_validation.jpg,external_image_oil_filter_2584768,wikimedia,data/images/wikimedia/oil_filter/commons_oil_filter_2584768.jpg,0.27910665,33
shock_absorber,dataset_v2_shock_absorber_006,dataset_v2,data/images/dataset_v2/shock_absorber/dataset_v2_shock_absorber_006.jpg,dataset_v2_shock_absorber_001,dataset_v2,data/images/dataset_v2/shock_absorber/dataset_v2_shock_absorber_001.jpg,0.0,15
shock_absorber,external_image_shock_absorber_new_validation,wikimedia,data/images/wikimedia/shock_absorber/commons_shock_absorber_new_validation.jpg,dataset_v2_shock_absorber_001,dataset_v2,data/images/dataset_v2/shock_absorber/dataset_v2_shock_absorber_001.jpg,0.47123098,26
starter,dataset_v2_starter_006,dataset_v2,data/images/dataset_v2/starter/dataset_v2_starter_006.jpg,external_image_starter_13616832,wikimedia,data/images/wikimedia/starter/commons_starter_13616832.jpg,0.48344821,23
starter,external_image_starter_new_validation,wikimedia,data/images/wikimedia/starter/commons_starter_new_validation.jpg,dataset_v2_starter_001,dataset_v2,data/images/dataset_v2/starter/dataset_v2_starter_001.jpg,0.45091033,20
taillight,dataset_v2_taillight_006,dataset_v2,data/images/dataset_v2/taillight/dataset_v2_taillight_006.jpg,external_image_taillight_18026985,wikimedia,data/images/wikimedia/taillight/commons_taillight_18026985.jpg,0.32163095,29
taillight,external_image_taillight_new_validation,wikimedia,data/images/wikimedia/taillight/commons_taillight_new_validation.jpg,dataset_v2_taillight_004,dataset_v2,data/images/dataset_v2/taillight/dataset_v2_taillight_004.jpg,0.14523464,30
