source,train_image_id,validation_image_id,train_category,validation_category,cosine_similarity
generated,air_filter_002_01,air_filter_004_01,air_filter,air_filter,0.9903415441513062
generated,air_filter_003_01,air_filter_004_01,air_filter,air_filter,0.9942352175712585
generated,alternator_003_01,alternator_004_01,alternator,alternator,0.9943732023239136
generated,brake_disc_003_01,brake_disc_004_01,brake_disc,brake_disc,0.9935445785522461
generated,brake_pad_003_01,brake_pad_004_01,brake_pad,brake_pad,0.9930237531661987
generated,coil_spring_002_01,coil_spring_004_01,coil_spring,coil_spring,0.9913137555122375
generated,coil_spring_003_01,coil_spring_004_01,coil_spring,coil_spring,0.9970558881759644
generated,headlight_001_01,headlight_004_01,headlight,headlight,0.9944438338279724
generated,headlight_002_01,headlight_004_01,headlight,headlight,0.9959821701049805
generated,headlight_003_01,headlight_004_01,headlight,headlight,0.9982382655143738
generated,oil_filter_003_01,oil_filter_004_01,oil_filter,oil_filter,0.9954380393028259
generated,shock_absorber_003_01,shock_absorber_004_01,shock_absorber,shock_absorber,0.9944014549255371
generated,starter_002_01,starter_004_01,starter,starter,0.9935294985771179
generated,starter_003_01,starter_004_01,starter,starter,0.9975178241729736
generated,taillight_003_01,taillight_004_01,taillight,taillight,0.9932991862297058
